"X"	"SRR2467275"	"SRR2467278"	"SRR2467282"	"SRR2467285"	"SRR2467290"	"SRR2467293"	"SRR2467297"	"SRR2467300"	"SRR2467303"	"SRR2467306"	"SRR2467309"	"SRR2467312"	"SRR2467315"	"SRR2467318"	"SRR2467322"	"SRR2467324"	"SRR2467328"	"SRR2467330"	"SRR2467333"	"SRR2467337"
"GB-GCA-003202935.1-BFBU01000001.1--6"	0	0	0	0	0	0.320659642693541	0	0	0	0	0	0.152357053235347	0	0.0722949634508796	0	0	0	0	0.093176212661003	0.0713379835129994
"GB-GCA-003463945.1-QSEF01000018.1"	0.166684029586415	0	0	0	0.202883075280299	0.229042601923958	0	0	2.18263331760264	0	0	0	0.425404880961266	0	0	0	0	0	0	0
"GB-GCA-003463985.1-QSEI01000001.1"	0.10417751849151	0	0	0	0	0	0	0	0	0	0	0	1.41801626987089	0	0	0	0	0	0.0712523979172376	0.0634115409004439
"GB-GCA-003477505.1-QUDN01000082.1"	0	0	0.0889284126278346	0	0	0.412276683463124	0.0824997421883057	0	0.25955639452572	0	0	0.0896217960207923	0	0	0	0	0	0	0	0
"GB-GCA-003479765.1-QUHT01000082.1"	0	0.28125	0	0	0	0	0.309374033206146	0.41893115942029	0	0	0	0	0	0	0	0	0	0	0	0
"GB-GCA-003480465.1-QUJC01000028.1"	0	0	0	0.306233330040502	0.309663641217298	0	0	0	0.0943841434638981	0.1868047889955	0	0	0	0.538195839023215	0.178173719376392	0	0	1.07999497676755	0.175390517950123	0
"GB-GCA-003481005.1-QUKC01000014.1"	0	0.0625	0	0.46428924231947	0	0.76042143838754	0.412498710941528	0.203804347826087	0.542708824917414	0.679290141801817	0	0	0	0.634589123624388	0	0.26381129733085	0	1.82720080371719	0.460400109619074	0.0634115409004439
"GB-GCA-003584705.1-AP018536.1--4"	0	0.364583333333333	0	0.395139780697422	0.320341697810998	0	0.639373001959369	0	0	0.220769296085591	0	0	0	0	0	0.558659217877095	0.208801798907806	0.483486123320357	0.575500137023842	0
"GB-GCA-004553155.1-SFME01000100.1"	0	0	0	2.10411933221377	0	0.632157581310124	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GB-GCA-004556565.1-SFGN01000289.1"	0	0	0.277901289461983	0	0	0	0	0	0	0	0	0	0	0	0	0.612973308504035	0	0	0.0657714442312962	0
