"X"	"ERR4856234"	"ERR4856126"	"ERR4856130"	"ERR4856132"	"ERR4856136"	"ERR4856142"	"ERR4856146"	"ERR4856150"	"ERR4856154"	"ERR4856156"	"ERR4856162"	"ERR4856164"	"ERR4856168"	"ERR4856174"	"ERR4856176"	"ERR4856180"	"ERR4856186"	"ERR4856190"	"ERR4856192"	"ERR4856198"	"ERR4856202"	"ERR4856204"	"ERR4856208"	"ERR4856214"	"ERR4856218"	"ERR4856220"	"ERR4856224"	"ERR4856228"	"ERR4856236"
"MJ006-1-barcode27-umi140099bins-ubs-3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.636792452830189	2.65026722307636	0.147606212296239	0	0	0	0	0	0	0
"MJ006-1-barcode27-umi145382bins-ubs-3"	0	8.74773645354506	0	0	0	0	0	0	0	0	0	0	0	0	2.35683213157738	0	0	0	0	1.41509433962264	0	0	0	1.64311534669734	0	0	0	0	0
"MJ006-1-barcode28-umi143164bins-ubs-4"	0.492682219968121	0.403955982727399	0.558860645393907	0.518726502641222	0	0	0.561447286338116	0.3794606814145	0	0.750144258511252	0.519158498314672	0	0	0.180810028929605	0	0	0.144987201747006	0	0	0.660377358490566	1.33245479171242	0	0	0	0.823082489146165	0	0	0	0.131143802029878
"MJ006-1-barcode28-umi147985bins-ubs-3"	0.202869149398638	0	0	0	0	0	0	0	0	0	0	0.20671834625323	0	0	0	0	0	0	0	0	0	0	0	1.55548252820681	0	0	0	0	0
"MJ006-1-barcode28-umi162137bins-ubs-3"	0	0	0	0.128491885975349	0.794989159238738	0	0.194946974422957	0.589375100920394	0	0	0.546278718375886	0.513924777490669	0.553473623522629	0	0.78064477683094	0	1.47672149927506	0	0	0	0	1.01399050186112	0	3.30813889801731	0	0	0	0	7.65195575322158
"MJ006-1-barcode28-umi164319bins-ubs-3"	0.470946239675409	0	0.153235983414458	0.328368153048113	0	0	0.417186525265128	0	0	0.5577995768417	2.50668319708651	3.05196669537755	0	0	1.5672486740957	0	0	0	0	0.283018867924528	0	0	0	0.460072297075255	0	0.850989927058006	0	0	0
"MJ006-1-barcode28-umi74131bins-ubs-5"	0	0.947207131912523	0	0	0.770898578655746	0	0	0.141288551590505	0	0.302942873629544	0.484289643950254	0	1.98904583453445	0	0.256242178654431	0	0.617538081515027	0.259202837588959	0	0	0	0	0	0.766787161792091	0	0.295241403265023	0.266558498000811	0	0
"MJ006-1-barcode29-umi120991bins-ubs-4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.398382080936604	0	0	0	0	0	0	0.555748523792984	0	0	0.17105713308245
"MJ006-1-barcode29-umi157218bins-ubs-4"	0.463700912911172	0	0.225347034433027	0	0	0	0	0.113030841272404	0	0	0	0.467987367212173	0	0.216972034715526	0	0	0.141407270839673	0	0	0	0	0	0	0	0	0	0	0	0
"MJ006-1-barcode29-umi51398bins-ubs-8"	0	0	0	0	0	0.471990095945528	0	0	0	0	2.60741544302817	0	0	0	0.172814492580895	0	0	0	0	0	0	0	0	0	0	0	0	2.12522361359571	0
"MJ006-1-barcode31-umi142640bins-ubs-3"	0	0	0	0	0	0	0.300218340611354	0	0	0.144258511252164	0	0	0	0.297332047573128	0	0	0.316823885299014	0	0	0	0.710154476901677	0	0	0	0.280390738060781	0	0	0	0
"MJ006-1-barcode31-umi173022bins-ubs-3"	0	0	0.865332612222823	0.0666254223575882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.92452830188679	0.168387144007614	0	0	0	0	0	0	0	0
"MJ006-1-barcode31-umi32290bins-ubs-12"	0	0	0	0	0	0.185701021355617	0	0	0	0.105789574918254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.208031837916064	0.130253560263981	0	0	0
"MJ006-1-barcode32-umi101369bins-ubs-4"	0	0	1.73066522444565	0.785228192071575	0	0	0	0	0	0	0	0	0	1.42237222757956	0	0	0	0	0	0	0	0	0	0	0	1.1288641889545	0	0	0
"MJ006-1-barcode36-umi231131bins-ubs-3"	0.796985944066077	0	0	0.41878836910484	0	0	0	0.85580494106249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MJ006-1-barcode37-umi144579bins-ubs-3"	0	0	0.513791238507301	0.161804597154143	0	0.294026617146394	0.31581409856519	0	0	0	0	0	0	0	0	0	0	0	0	0.0825471698113208	0.190350684530346	0	0	0	0	0	0	0	0
