fid	AUC	study
262	GH43	0.488851351351351	PRJNA780023
263	GH43	0.443088142041852	PRJNA891951
264	GH43	0.4125	PRJNA293971
265	GH43	0.505470085470086	PRJNA306884
266	GH43	0.490288039016853	PRJNA428736
267	GH48	0.445951181712515	PRJEB41443
268	GH48	0.498498176357005	PRJNA560950
269	GH48	0.523445945945946	PRJNA780023
270	GH48	0.498731769181991	PRJNA891951
271	GH48	0.4125	PRJNA293971
272	GH48	0.522649572649573	PRJNA306884
273	GH48	0.495712914674779	PRJNA428736
274	GH5	0.461449050755521	PRJEB41443
275	GH5	0.48229993563613	PRJNA560950
276	GH5	0.584256756756757	PRJNA780023
277	GH5	0.528019974635384	PRJNA891951
278	GH5	0.465	PRJNA293971
279	GH5	0.488376068376068	PRJNA306884
280	GH5	0.4974346902313	PRJNA428736
281	GH51	0.425803951956606	PRJEB41443
282	GH51	0.538403776013731	PRJNA560950
283	GH51	0.495135135135135	PRJNA780023
284	GH51	0.479153455928979	PRJNA891951
285	GH51	0.475	PRJNA293971
286	GH51	0.502222222222222	PRJNA306884
287	GH51	0.51426312231397	PRJNA428736
288	GH57	0.566447113521891	PRJEB41443
289	GH57	0.518236429950654	PRJNA560950
290	GH57	0.485675675675676	PRJNA780023
291	GH57	0.488328313253012	PRJNA891951
292	GH57	0.49625	PRJNA293971
293	GH57	0.496068376068376	PRJNA306884
294	GH57	0.476658699116326	PRJNA428736
295	GH6	0.378148004649361	PRJEB41443
296	GH6	0.478759922763356	PRJNA560950
297	GH6	0.530540540540541	PRJNA780023
298	GH6	0.481293595434369	PRJNA891951
299	GH6	0.4825	PRJNA293971
300	GH6	0.442564102564103	PRJNA306884
301	GH6	0.452303346371143	PRJNA428736
302	GH63	0.51685393258427	PRJEB41443
303	GH63	0.524029178287921	PRJNA560950
304	GH63	0.541486486486486	PRJNA780023
305	GH63	0.518310082435003	PRJNA891951
306	GH63	0.5	PRJNA293971
307	GH63	0.488034188034188	PRJNA306884
308	GH63	0.508619440822831	PRJNA428736
309	GH65	0.557923285548237	PRJEB41443
310	GH65	0.573696631624115	PRJNA560950
311	GH65	0.506554054054054	PRJNA780023
312	GH65	0.497622067216233	PRJNA891951
313	GH65	0.51	PRJNA293971
314	GH65	0.525641025641026	PRJNA306884
315	GH65	0.468250519097977	PRJNA428736
316	GH66	0.480046493607129	PRJEB41443
317	GH66	0.445719802617464	PRJNA560950
318	GH66	0.459864864864865	PRJNA780023
319	GH66	0.494689283449588	PRJNA891951
320	GH66	0.56875	PRJNA293971
321	GH66	0.477264957264957	PRJNA306884
322	GH66	0.48830218745473	PRJNA428736
323	GH68	0.496706702828361	PRJEB41443
324	GH68	0.406994207251663	PRJNA560950
325	GH68	0.498378378378378	PRJNA780023
326	GH68	0.46674857324033	PRJNA891951
327	GH68	0.53375	PRJNA293971
328	GH68	0.505470085470086	PRJNA306884
329	GH68	0.474618523347337	PRJNA428736
330	GH73	0.440139480821387	PRJEB41443
331	GH73	0.547736537223772	PRJNA560950
332	GH73	0.514054054054054	PRJNA780023
333	GH73	0.48315630944832	PRJNA891951
334	GH73	0.4975	PRJNA293971
335	GH73	0.48034188034188	PRJNA306884
336	GH73	0.461287966584577	PRJNA428736
337	GH77	0.543587756683456	PRJEB41443
338	GH77	0.494636344132161	PRJNA560950
339	GH77	0.506418918918919	PRJNA780023
340	GH77	0.514307228915663	PRJNA891951
341	GH77	0.49625	PRJNA293971
342	GH77	0.491452991452991	PRJNA306884
343	GH77	0.548067869042445	PRJNA428736
344	GH8	0.489732661759008	PRJEB41443
345	GH8	0.614245869984982	PRJNA560950
346	GH8	0.513445945945946	PRJNA780023
347	GH8	0.461279327837666	PRJNA891951
348	GH8	0.4675	PRJNA293971
349	GH8	0.505811965811966	PRJNA306884
350	GH8	0.475179873484958	PRJNA428736
351	GH84	0.487407981402557	PRJEB41443
352	GH84	0.471840806693842	PRJNA560950
353	GH84	0.510810810810811	PRJNA780023
354	GH84	0.526038363982245	PRJNA891951
355	GH84	0.5	PRJNA293971
356	GH84	0.468034188034188	PRJNA306884
357	GH84	0.503497875319909	PRJNA428736
358	GH88	0.430065865943433	PRJEB41443
359	GH88	0.511156404205106	PRJNA560950
360	GH88	0.566959459459459	PRJNA780023
361	GH88	0.525840202916931	PRJNA891951
362	GH88	0.4675	PRJNA293971
363	GH88	0.488205128205128	PRJNA306884
364	GH88	0.489654256603409	PRJNA428736
365	GH9	0.472685005811701	PRJEB41443
366	GH9	0.485196309804763	PRJNA560950
367	GH9	0.570472972972973	PRJNA780023
368	GH9	0.534915979708307	PRJNA891951
369	GH9	0.46	PRJNA293971
370	GH9	0.489230769230769	PRJNA306884
